rule,param,value,revenue,revenue_ci,efficiency,efficiency_ci,extension,extension_ci,late_share,late_share_ci,late_win,late_win_ci,sniper_win,sniper_win_ci,sniper_misalloc,sniper_misalloc_ci,cap_hit,cap_hit_ci,sold,sold_ci,d_revenue_vs_ref,d_revenue_vs_ref_ci,d_efficiency_vs_ref,d_efficiency_vs_ref_ci,d_revenue_vs_hard,d_revenue_vs_hard_ci,d_efficiency_vs_hard,d_efficiency_vs_hard_ci,ext_p95,payoff_proxy,payoff_incr,payoff_sniper
"hard close, no cap",step,0.01,0.66607,0.00494,0.97581,0.00232,0.0,0.0,0.05502,0.00298,0.2536,0.01206,0.2528,0.01205,0.0832,0.00766,0.0,0.0,1.0,0.0,0.00124,0.00039,0.00078,0.00034,0.0,0.0,0.0,0.0,0.0,0.02499,0.02397,0.04076
soft close 5 min,step,0.01,0.67814,0.0048,0.98324,0.00191,2.23965,0.10139,0.06118,0.00325,0.2248,0.01157,0.2242,0.01156,0.0482,0.00594,0.0,0.0,1.0,0.0,0.01331,0.00157,0.00821,0.00145,0.01207,0.00153,0.00743,0.00141,9.691,0.02489,0.02601,0.03224
"ArtSphere: hard close, ladder cap 50",step,0.02,0.67256,0.00486,0.97912,0.00215,0.0,0.0,0.05721,0.00303,0.2462,0.01194,0.2456,0.01193,0.0782,0.00744,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02506,0.02366,0.03829
"hard close, no cap",step,0.02,0.67256,0.00486,0.97912,0.00215,0.0,0.0,0.05721,0.00303,0.2462,0.01194,0.2456,0.01193,0.0782,0.00744,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02506,0.02366,0.03829
soft close 5 min,step,0.02,0.68215,0.00475,0.98484,0.00182,2.04575,0.09543,0.06313,0.0033,0.2256,0.01159,0.2252,0.01158,0.0516,0.00613,0.0,0.0,1.0,0.0,0.00959,0.00136,0.00571,0.00119,0.00959,0.00136,0.00571,0.00119,9.653,0.025,0.02515,0.03164
"ArtSphere: hard close, ladder cap 50",step,0.05,0.67713,0.00475,0.981,0.002,0.0,0.0,0.06085,0.00315,0.2332,0.01172,0.2326,0.01171,0.0706,0.0071,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02515,0.02408,0.03484
"hard close, no cap",step,0.05,0.67713,0.00475,0.981,0.002,0.0,0.0,0.06085,0.00315,0.2332,0.01172,0.2326,0.01171,0.0706,0.0071,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02515,0.02408,0.03484
soft close 5 min,step,0.05,0.68477,0.00468,0.98617,0.00171,1.80082,0.08754,0.06619,0.00341,0.214,0.01137,0.2134,0.01136,0.0478,0.00591,0.0,0.0,1.0,0.0,0.00764,0.00121,0.00517,0.00109,0.00764,0.00121,0.00517,0.00109,9.521,0.02509,0.02544,0.02959
"ArtSphere: hard close, ladder cap 50",dist,uniform,0.66483,0.00492,0.97503,0.00234,0.0,0.0,0.05539,0.00299,0.2524,0.01204,0.2516,0.01203,0.0848,0.00772,0.0924,0.00803,1.0,0.0,0.0,0.0,0.0,0.0,-0.00124,0.00039,-0.00078,0.00034,0.0,0.02522,0.02397,0.04073
"hard close, no cap",dist,uniform,0.66607,0.00494,0.97581,0.00232,0.0,0.0,0.05502,0.00298,0.2536,0.01206,0.2528,0.01205,0.0832,0.00766,0.0,0.0,1.0,0.0,0.00124,0.00039,0.00078,0.00034,0.0,0.0,0.0,0.0,0.0,0.02499,0.02397,0.04076
